Actor,Movies
Noemí Ceratto,"La superdotada, Los hombres no deben llorar, Crucero de placer"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Peter Gallagher,"While You Were Sleeping, The War Boys, Protection, Sex, Lies, and Videotape, The Man Who Knew Too Little, Mrs. Parker and the Vicious Circle, The Cabinet of Dr. Ramirez, Cafe Society, GasHole, House on Haunted Hill, Submission, Mother's Boys, Last Dance, Someday This Pain Will Be Useful to You, Johnny Skidmarks, Everybody Just Stay Calm, Watch It, Sundance Skippy, The Idolmaker, To Gillian on Her 37th Birthday, Summer Lovers, The Underneath, Dreamchild, Adam"
Stephen Baldwin,"The Flintstones in Viva Rock Vegas, Kaibigan, A Walk with Grace, One Tough Cop, Tapestry, Protection, Blood Pageant, The Usual Suspects, Threesome, Crimetime, Target, Bitter Harvest, Fallacy, The Networker, Scarlett, Friends & Lovers, Magi, The UnMiracle, 8 Seconds, Dead Awake, Shelter Island, The Costume Shop, Mission: The Prophet, Midnight Clear, Posse, Faith of Our Fathers, Firefight, Back to the Jurassic, Shoot the Duke, Under the Hula Moon, The Least of These: The Graham Staines Story, The Genius Club, Lost Treasure, Let the Lion Roar, Six: The Mark Unleashed, God's Club, Run, Table One, Fall Time, Vote Jesus: The Chronicles of Ken Stevenson, The Beast of War, Bio-Dome, PoliWood, Riptide, Let the Game Begin, Xchange, Spider's Web, Boardwalk Hempire: The Rise and Fall of the Medical Kush Beach Club, Fled, Sky Kids, Crossing the Bridge, No Panic, With a Hint of Hysteria, Scar City, Keeping It Real: The Adventures of Greg Walloch, The Apostle Peter: Redemption, I'm in Love with a Church Girl, 2047: Sights of Death, Shark in Venice"
Bill Hutchens,"Queen of the Redwood Mountains, A Summer in Avignon, Run Away with Me, Legend of the Golden Fishcake, The Magnificent Raiders of Dimension War One, Your Flesh, Your Curse, Identity(Pehchaan), Fuck You Immortality, No Panic, With a Hint of Hysteria, Saint Dracula 3D, Further Ed"
Wassim Hawat,"Cross Currents: Journey to Asian Environments, The Unhallowed, The Magnificent Raiders of Dimension War One, Deep Bay of Bengal, 1010"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Steve Guttenberg,"Alternate Universe: A Rescue Mission, Airborne, Police Academy 2: Their First Assignment, Jackson, The Bedroom Window, Police Academy 4: Citizens on Patrol, Home Team, Domino One, The Man Who Wasn't There, Diner, Zeus and Roxanne, Private Valentine: Blonde & Dangerous, I Heart Shakey, Bad Medicine, 3 Men and a Little Lady, Heckle, A Novel Romance, P.S. Your Cat Is Dead!, After Party, Quick to Duck, Police Academy 3: Back in Training, The Chicken Chronicles, The Boyfriend School, Ay Lav Yu, 3 Men and a Baby, Mojave Phone Booth, Cornered!, Making Change, Trauma Center, Overdrive, Police Academy, Short Circuit, Fatal Rescue, Help Me, Help You, The Big Green, Lookin' Up, High Spirits, It Takes Two, Surrender"
Cengiz Bozkurt,"Ay Lav Yu, Time of happiness, Deli Dumrul, Thou Gild'st the Even, Iyi Biri, Code Name Venus, Ailecek Saskiniz, Gitmek: My Marlon and Brando, Dr. Dilara, Sen Benim HerSeyimsin, Telling Tales, Cinayet Süsü, The Crossing, Öz Hakiki Karakol: Asayis Berkemal Aga..., Vücut, Kara Bela"
Sadi Celil Cengiz,"Olaylar Olaylar, Bende Kal, Hababam Sinifi Yeniden, Biz Bir Dolasalim, Eyvah Karim, Telling Tales, Döndüm Ben, Eski Sevgili"
Selahattin Tasdögen,"Oglum bak git, Biz Bir Dolasalim, Deli Isi, Hayalimdeki Köy, Hasbihal, Süpheci, Nekrüt, Van Gölü Canavari, Kiralik oda, O Is Bende"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Aishwarya Rai Bachchan,"Taal, Provoked: A True Story, Ae Dil Hai Mushkil, Dhaai Akshar Prem Ke, Action Replay, Guzaarish, Bride & Prejudice, Aa Ab Laut Chalen, Ravoyi Chandamama, Devdas, ...Aur Pyaar Ho Gaya, Iruvar, Kuch Naa Kaho, Enthiran, Josh, Jeans, Guru, Sarkar Raj, Bollywood: The Greatest Love Story Ever Told, Sarbjit, Kyun! Ho Gaya Na..., Dhoom 2, Fanney Khan, Dil Ka Rishta, Choker Bali: A Passion Play, Raavanan, Raincoat, Jodhaa Akbar, Hamara Dil Aapke Paas Hai, Shabd, Hum Panchi Ek Daal Ke, Jazbaa, The Last Legion, Khakee, Kandukondain Kandukondain, The Mistress of Spices, Hum Dil De Chuke Sanam, Umrao Jaan, Raavan, Albela"
Santhanam,"Idhu Kathirvelan Kadhal, Veerasamy, A1: Accused No. 1, Ishtam, Leelai, Vaalu, Endrendrum Punnagai, Innimey Ippadithaan, Moscowin Kaveri, All in All Azhagu Raja, Settai, Vanakkam Chennai, Thalaivan, Enthiran, Siva Manasula Sakthi, Kanna Laddu Thinna Aasaiya, Parattai Engira Azhagu Sundaram, Thalaivaa, Machakkaaran, Vaaliba Raja, JK Enum Nanbanin Vaazhkai, Singam Puli, Kandaen, Kandhakottai, Ah Aah: Anbe Aaruyire, Vallavanukku Pullum Aayudham, Osthi, Kadhal Pisase, Salala Mobiles, Vanthaan Vendraan, Ruthless Man, Vaamanan, Aranmanai, Oru Kalluriyin Kathai, Bramman, Oodi Oodi Uzhaikanum, Dhilluku Dhuddu 2, Muppozhudhum Un Karpanaigal, Neethaane En Ponvasantham, Inga Enna Solluthu, Arai Enn 305-il Kadavul, Kanden Kadhalai, Theeya Velai Seiyyanum Kumaru, Pattathu Yaanai, Alex Pandian, Mannavan Vanthanadi, Vasuvum Saravananum Onna Padichavanga, Saguni, Oru Kal Oru Kannadi, Chikku Bukku, Siruthai, Boss Engira Baskaran, Nannbenda, Dhilluku Dhuddu"
Vishal,"Malaikottai, Thaamirabarani, Sathyam, Dishyum, Ayogya, Aambala, Avan Ivan, Sandakozhi, Irumbu Thirai, Thupparivaalan, Chellame, Marudhu, Samar, Thimiru, Naan Sigappu Manithan, Pandiya Naadu, Action, Kathakali, Poojai, Paayum Puli, Thoranai, Sivappathikaaram, Theeradha Vilaiyattu Pillai, Pattathu Yaanai, Villain, Sandakozhi 2"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Fred Ward,"The Vivero Letter, The Player, UFOria, Big Business, Chain Reaction, Equinox, Timerider: The Adventure of Lyle Swann, Red Team, Remo Williams: The Adventure Begins, The Chaos Factor, Off Limits, Luck, Trust & Ketchup: Robert Altman in Carver Country, Summer Catch, Thunderheart, Southern Comfort, Swing Shift, The Blue Villa, Uncommon Valor, Tremors, The Prince of Pennsylvania, Dangerous Beauty, Henry & June, Two Small Bodies, Miami Blues, The Wild Stallion, Birdseye"
Keith Carradine,"Choose Me, Bereave, Pretty Baby, The Carradines Together, Terroir, The Bachelor, Antoine and Sebastian, Falcons, Trouble in Mind, Old Boyfriends, Run, Run, Joe!, Daddy's Dyin'... Who's Got the Will?, Hair: Let the Sun Shine In, Idaho Transfer, Wooly Boys, Thieves Like Us, The Duellists, All Hat, The Tie That Binds, The Inquiry, Out of the Cold, Our Very Own, Backfire, The Best of Sex and Violence, Standoff, Cold Feet, Ray Meets Helen, Southern Comfort, Nashville, Andre, The Moderns, Hex, Maria's Lovers, An Almost Perfect Affair, Street of No Return, Emperor of the North, Gettysburg and Stories of Valor: Civil War Minutes III, Winter of Frozen Dreams, Blackout, Welcome to L.A., Cahoots, The Ballad of the Sad Cafe, Stuart Mossman: A Modern Stradivari, The Long Riders"
Ernest Borgnine,"Rain for a Dusty Summer, The Last Great Ride, Spike of Bensonhurst, The Last Match, The Lost Treasure of Sawtooth Island, The World of Sport Fishing, Skeleton Coast, Law and Disorder, Holiday Hookers, The Long Ride Home, Moving Target, The Lady with the Torch, Shoot, Snatched, Destination Point Luck: Voices from Midway, Another Harvest Moon, Enemy Mind, Night Club, The Greatest, Crossed Swords, Shadows of the Past, Whiplash, Ripped-Off, Oliviero Rising, The Neptune Factor, Hoover, Railroad to Hell: A Chinaman's Chance, Super Fuzz, Frozen Stupid, Passion & Poetry: The Ballad of Sam Peckinpah, The Puppeteers, Bunny O'Hare, Escape from New York, The Lion of Judah, Barn Red, The American Hobo, The Genesis Code, The Devil's Rain, The Man Who Shook the Hand of Vicente Fernandez, Hannie Caulder, The Revengers, The Kiss of Debt, Laser Mission, Passion & Poetry: Sam's Trucker Movie, Mel, Ravagers, Tides of War, Emperor of the North, Convoy, Young Warriors, Suppose They Gave a War and Nobody Came?, Sunday in the Country, Code Name: Wild Geese, McHale's Navy, The Opponent, The Poseidon Adventure, Film Portrait"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Michael Caine,"Kingsman: The Secret Service, Beyond the Poseidon Adventure, Last Orders, Preminger: Anatomy of a Filmmaker, Ashanti, Youth, Medieval, Too Late the Hero, The Fourth Protocol, The Wilby Conspiracy, Dirty Rotten Scoundrels, Hannah and Her Sisters, Water, The Island, The Eagle Has Landed, Shiner, Victory, The Debtors, X, Y and Zee, The Swarm, Flawless, The Man Who Got Carter, The Black Windmill, The Last Valley, The Whistle Blower, The Man Who Would Be King, Sleuth, Children of Men, The Muppet Christmas Carol, Twist, Cars 2, The Quiet American, Bullseye!, Last Love, Surrender, The Destructors, Sweet Liberty, Dressed to Kill, My Generation, Kidnapped, Come Away, Harry and Walter Go to New York, On Deadly Ground, California Suite, The Dark Knight, Quicksand, Pulp, The Cider House Rules, Without a Clue, A Bridge Too Far, It All Came True, Blood and Wine, Shadow Run, The Statement, The Weather Man, Quills, Deathtrap, Secondhand Lions, Around the Bend, Harry Brown, Little Voice, Beyond the Limit, Get Carter, Noises Off..., King of Thieves, Mona Lisa, Educating Rita, Going in Style, A Shock to the System, Peeper, The Hand, Journey 2: The Mysterious Island, Dear Dictator, Silver Bears, The Prestige, Is Anybody There?, The Actors, Bewitched, Blame It on Rio, Half Moon Street, Miss Congeniality, Blue Ice, The Romantic Englishwoman, Mr. Destiny, Batman Begins, The Foreign Eye, The Jigsaw Man, The Holcroft Covenant"
Saeed Jaffrey,"Param Vir Chakra, Dil, Suryavanshi, Bollywood, Amruta, Nehru, English Babu Desi Mem, Ek Phool Teen Kante, The Chess Players, My Beautiful Laundrette, Bandit Lovers, Aagman, Yaadon Ka Mausam, Ek Hi Raasta, Masala, The Battle for Bunker Hill, Aaina, Anmol, Naseeb, Star, Balmaa, Aulad, Jaanoo, Bhavna, The Deceivers, Mad Dogs, Kab Tak Chup Rahungi, Bhavishya: The Future, Partition, The Man Who Would Be King, Sauda, Angaar Vadee, Ek Din Bahu Ka, Ram Teri Ganga Maili, After Midnight, Phir Aayee Barsat, Asambhava, Angrakshak, Naya Khoon, Cross My Heart, Salaami, Ek Aadmi, Deewana Sanam, Chicken Tikka Masala, Chashme Buddoor, Diamond's Edge, The Journey, Henna, Cricketer, Kissi Se Na Kehna, Yeh Dillagi, 15th August, Romance, Day of the Sirens"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Jim Broadbent,"When Did You Last See Your Father?, The Lady in the Van, Valiant, Around the World in 80 Days, King of Thieves, Art School Confidential, Le Week-End, Get Santa, Brooklyn, Paddington, Nicholas Nickleby, Life Is Sweet, Princess Caraboo, The King's Beard, The Good Father, Moulin Rouge!, The Iron Lady, Bridget Jones's Baby, The Secret Agent, Another Year, The Borrowers, Gangs of New York, Arthur Christmas, New Town Utopia, Postman Pat: The Movie, Six Minutes to Midnight, Four Questions About Art, Iris, Birds Like Us, The Sense of an Ending, Vera Drake, Ethel & Ernest, Closed Circuit, The Last Art Film, Topsy-Turvy, Rough Magic"
Brenda Emmanus,"Royal Academy Summer Exhibition, The Brits Who Designed the Modern World, New Tate Modern Switched On, Charles I's Treasures Reunited"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Michael Cera,"Crystal Fairy & the Magical Cactus, Extreme Movie, Occupy Cannes!, Blazing Samurai, The Lego Batman Movie 2, Magic Magic, Lemon, Person to Person, Juno, Jonty, Superbad, Scott Pilgrim vs. the World, Nick and Norah's Infinite Playlist, Youth in Revolt, Sundance Skippy, Paper Heart, The Lego Batman Movie, Year One, Gloria Bell, Molly's Game"
Lloyd Kaufman,"Another Yeti a Love Story: Life on the Streets, Vault of Terror II: The Undead, Stick 10 Even More Swag: The United League of Stereotypes, Hell, Lord of the Undead, Werewolf Bitches from Outer Space, Penny Pinchers: The Kings of No-Budget Horror, Faces of the Dead, Suburban Legends: Life on Rainbow Road, The Killer Robots and the Battle for the Cosmic Potato, The Ungovernable Force, All the Love You Cannes!, More Blood!, Death of the Reel, Chainsaw Maidens from Hell, Death at a Barbecue, Mr. Blue Shirt: The Inspiration, The Battle of Love's Return, I Spill Your Guts, The Last Apartment, The Girl Who Played with the Dead, Blood Curse: The Haunting of Alicia Stone, Nowhere Man, The Streets Run Red, Slashening 2: The Final Beginning, The Black Spot, Survival of the Film Freaks, Grindsploitation 666, Hillbilly Bob Zombie, League of Superheroes, HellBilly 58, Direct to Video: Straight to Video Horror of the 90s, Untitled Radioactive Chicken Heads Documentary, Monkfish, Into the Outbreak, 911: Ten Years After, B-Documentary Part Two, Death on the D-List, Nick & Ophelia, Graveyard Stories, Terror Firmer, Confessions of a Teenage Filmmaker: The Dan Nastro Story, Absolute Vow, Aconite, Greetings from Tromaville, Horror House, Treasure Chest of Horrors, A Home for the Bullets, Blood Curse II: Asmodeus Rises, How 2 Make a Film: Billion $ Weekend, Stuck Like Chuck, Toxic Tutu, Occupy Cannes!, Splendor and Wisdom, Hellitosis: The Legend of Stankmouth, Sell Out, Dinner with Lloyd, The Fappening, Mosquito-Man, Outtake Reel, Grindsploitation, Corpus Kristi, The Last Zombi Hunter, Last Day of School, Killed on the Fourth of July, The Walking Dead Girls, Enter If You Dare: House on Creepy Lane Part 2, PUTA: People for the Upstanding Treatment of Animals, The Killer's Requiem, Misadventures in Space, House of Forbidden Secrets, Little Big Boy, Adjust Your Tracking, Trashtastic, Alcoholist, King Kaufman: The Passion of Lloyd, Grindsploitation 4: Meltsploitation, Film Trix"
Brinke Stevens,"Slimoids, Bloodstruck, The Summer of Massacre, Xenophobia, Sigma Die!, Slave Girls from Beyond Infinity, The Naked Monster, Teenage Exorcist, Post-Mortem, October Moon 2: November Son, Dead Clowns, RoboWoman, Camp Terror, The Tombstone, The Possession of Mia Moss, Women Of Phantasm: The Documentary With Balls!, Adam K, Axeman, The Ritual, Nightmare Sisters, Direct to Video: Straight to Video Horror of the 90s, Trophy Heads, Mommy, Mrs. Claus, Safe Inside, The Forgotten Ones, You Belong to Me, Shy of Normal: Tales of New Life Experiences, Sleepless Nights: Revisiting the Slumber Party Massacres, The Haunting of Mia Moss, Screaming in High Heels: The Rise & Fall of the Scream Queen Era, Savage Vengeance, Head Case: The Lost Tapes, Head Case, Bitten: Victoria's Shadow, The Small Woman in Grey, Caesar and Otto's Summer Camp Massacre, Real Time: Siege at Lucas Street Market, Beneath the Old Dark House, Meathook Massacre 4, Night Mistress, Jonah Lives, Teacher Shortage, 3 Scream Queens, Blood Siblings, The Invisible Mother, Head Cases: Serial Killers in the Delaware Valley, Bleed 4 Me, Spirits, Bad Girls from Mars"
Christy Johnson,"Superpower, Beneath the Old Dark House, Orbs: They Are Among Us, The Strange and Unusual"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Colin Firth,"What a Girl Wants, When Did You Last See Your Father?, A Christmas Carol, King George VI: The Man Behind the King's Speech, Kingsman: The Secret Service, The Mercy, Apartment Zero, My Life So Far, Tinker Tailor Soldier Spy, Fever Pitch, Gambit, Another Country, Hope Springs, Trauma, A Month in the Country, The Importance of Being Earnest, Playmaker, A Summer in Genoa, Der Weg des Ruhms, The Secret Garden, Valmont, A Single Man, The Advocate, Bridget Jones's Diary, St Trinian's II: The Legend of Fritton's Gold, Devil's Knot, Genius, Fourplay, The Secret Laughter of Women, Then She Found Me, Bridget Jones: The Edge of Reason, Dorian Gray, The Happy Prince, The Last Legion, Girl with a Pearl Earring, The Accidental Husband, Where the Truth Lies, Nanny McPhee, The Railway Man, Before I Go to Sleep, Arthur Newman, Easy Virtue, The King's Speech, Wings of Fame, Relative Values, Kingsman: The Golden Circle, Main Street, Magic in the Moonlight, Femme Fatale"
Andréa Ferréol,"L'ombre rouge, One Woman's Lover, Balles perdues, Ties and Ropes, Servant and Mistress, Le p'tit curieux, Les états-Unis d'Albert, Private Life, Domenica, Emma Peeters, Marie, the Doll, Dirty Money - Undercover, Ante Up, Císarovy nové saty, Taste of Life, The True Story About Men and Women, Three Brothers, A Virgin Named Mary, The Last Metro, Man of Corleone, Submission, Le futur aux trousses, On the Edge of the Horizon, I'm Crazy About Iris Blond, The Judge, Le cri du lézard, Corentin, ou Les infortunes conjugales, Elena's Gift, Francesco, Brides, Scar, Street of No Return, Bellyful, La lucida follia di Marco Ferreri, The Barons, The Sleazy Uncle, Return to Marseilles, Lucky Punch, Douce France, The Imprint of Giants, Il maestro, Aldo et Junior, Milo-Milo, Travolto dagli affetti familiari, Parlez-moi d'amour, A Zed & Two Noughts, The Persian Lamb Coat, Wings of Fame, Despair, Down There in the Jungle, Hans Eppendorfer: Suche nach Leben"
Robert Powell,"Romeo.Juliet, Beyond Good and Evil, Chunuk Bair, The Thirty Nine Steps, Al-Ghazali: The Alchemist of Happiness, The Survivor, Running Scared, Harlequin, The Boer War, Jane Austen in Manhattan, Mahler, Love Sins, What Waits Below, The Zulu Wars 1879, Creta Divina, Secrets, The Jigsaw Man, Down There in the Jungle, The Asphyx, The Forgotten Children of Congo, Imperative"
